occ,n
svarfv.,15
but.bitr.,15
kartongarbeterska,15
expressarbetare,15
werkmast.,15
stryk,15
tekniker,15
bromsare,15
hand.idk:a,15
glasmasteriarbetare,15
sagv. arb.,15
konf.arb,15
brefbararen,15
fargeriarb.,15
mob.handl,15
skinnskradd,15
stryk.,15
brandsoldat,15
hem.dtr,15
bryggeriarbeterska,15
lantbrevb,15
sjuksot,15
sjukskoterskan,15
grossh,15
vagmast,15
skoterskebitrade,15
lagearb,15
fabr:arb,15
lagerforman,15
svarvaren,15
spinnare,15
mjolkerska,15
byggn.snick.arb,15
walsarb,15
vafv,15
kamreren,15
laderarb,15
landskont,15
fdtgr.,15
malaregesallen,15
slakt,15
f vaktm,15
tandlakaren,15
cykelrep.,15
f.lararinna,15
lackerare,15
tryck.arb,15
skoarb:a,15
bokbinderska,15
hemmansegare,15
tapetser.,15
skogvaktare,15
skot.,15
smedarb,15
kassabitr,15
sjӧkapt,15
jv.arb.,15
handelsidk,15
sadelm.,15
gardseg.,15
textilarbeterska,15
telef.,15
kakelarbetare,15
leg.lakare,15
skomakaremastaren,15
tandlak.,15
stationsk,15
barnbarn,15
apot.bitr,15
skogvaktaren,15
fӧrradsarb,15
tapetsor,15
papp arb,15
hemskoterska,15
press.,15
tidskriv,15
forestand:a,15
skorstensfejare,15
cykelreparator,15
forsaljaren,15
f.arb.,15
torghandlare,15
portvakten,15
hattsommerska,15
lokomotivforare,15
bokbind.,15
fotografbitrade,15
sagar.,15
l:e postiljon,15
forradsforv,14
metalltryckare,14
landskanslist,14
tegelarb.,14
cykelhandl,14
kartriterska,14
skӧterska,14
jkograrb,14
postmastare,14
f verkmast,14
ladug.form,14
f kokerska,14
jordb.arb.,14
kyrkoh,14
tjӓnstem,14
fil,14
sagverksarbetare,14
korrespond.,14
brevbar.,14
agron,14
korare,14
akerbrukaren,14
frok.,14
kallarmast.,14
bryggaren,14
smedsarbetare,14
syssloman,14
sadelmakaren,14
f stad,14
tullvaktmastaren,14
ass.skot,14
jordagare,14
maskinform,14
skrothandl,14
jagmastare,14
kranskot,14
fastighetsagare,14
plat.,14
tapetser,14
fjardingsman,14
skot.bitr.,14
glasblas.,14
sjukgymn,14
vedg.arb,14
jarnvksarb,14
slojdlarare,14
forradsvakt,14
repr:ant,14
sockerf.arb,14
handarb.lar,14
f verkst.arb,14
rorarbet,14
jordbruksarb,14
barnskot:a,14
kyrkog.arb,14
folkskolelararinna,14
galvanisor,14
fiskhandlare,14
civiling.,14
busskondukt,14
f textilarb,14
f.abo,14
chokladarb,14
typogr.larl,14
maskinskotare,14
brukspatron,14
fmt.,14
byggn.grovarb.,14
e.o.kontorsbitrade,14
sag.,14
serveringsbitrade,14
handelsidk:a,14
mastaren,14
lantbr.elev,14
bokhandl.,14
verktygsarb.,14
litogr,14
hovmast,14
byggn.sn,14
batbygg,14
skeppar,14
mal.larl,14
snick.larl,14
lith.arb.,14
br.arb.,14
byggnadssnick.,14
jarnarbet,14
texilarb,14
vedhandlare,14
kronolots,14
jungm,14
befallningsm.,14
kӧksbitr,14
expeditionsbitrade,14
tulltj.man,14
bagerskan,14
vaktman,14
skolstad,14
traarbet.,14
underlojtnanten,14
magasinskarl,14
f.sommerska,14
landsfiskal,14
tradgardsarbetaren,14
hand. bitr,14
verkm,14
ak.arb,14
hanskm. arb.,14
kakelugnsmak,14
dodsbo,14
laroverksadjunkten,14
tja.,14
